timestamp,accuracy,d0,d1,d2
90949798510950,3,0.35553896,0.36391866,9.998186
90949808497305,3,0.3878607,0.36750996,10.016143
90949818518398,3,0.50158525,0.36631286,10.007763
90949828548034,3,0.50996494,0.37588966,10.007763
90949838500430,3,0.4201824,0.37349546,10.014946
90949848510794,3,0.16639702,0.37469256,10.023325
90949858500065,3,-0.017956512,0.37229836,10.0029745
90949868513086,3,-0.017956512,0.36272156,10.018537
90949878511627,3,-0.10414778,0.36272156,10.018537
90949888503190,3,-0.24301147,0.36391866,10.011354
90949898526575,3,-0.2741361,0.34715924,9.983821
90949908505221,3,-0.20829555,0.34596214,9.996989
90949918511680,3,-0.02873042,0.34117374,10.001778
90949928516055,3,0.18674773,0.33758244,9.999383
90949938507200,3,0.2681506,0.34476504,9.992201
90949948522096,3,0.427365,0.34117374,10.012551
90949958515586,3,0.47285482,0.34955344,10.012551
90949968515325,3,0.39743748,0.35194764,10.01734
90949978515221,3,0.12210429,0.35673606,10.010158
90949988503190,3,-0.20949265,0.36990416,10.028113
90949998509909,3,-0.34117374,0.36391866,10.013748
90950008507357,3,-0.46926352,0.37708676,10.004171
90950018510638,3,-0.50038815,0.37469256,10.02572
90950028504336,3,-0.4405331,0.36870706,10.004171
90950038512565,3,-0.22984336,0.35913026,9.994595
90950048535273,3,0.02633622,0.34237084,9.991004
90950058562825,3,0.093373865,0.33997664,9.996989
90950068944336,3,0.22266077,0.32561144,9.989806
90950078506732,3,0.30765492,0.320823,9.973047
90950088513867,3,0.25258827,0.32202014,9.970653
90950098512565,3,0.062249243,0.32202014,9.974244
90950108503711,3,-0.24420857,0.33638534,9.969456
90950118519388,3,-0.3196259,0.34117374,9.947908
90950128503607,3,-0.39384618,0.36032736,9.989806
90950138506992,3,-0.427365,0.36870706,10.012551
90950148517200,3,-0.36032736,0.36391866,9.994595
90950158526679,3,-0.260968,0.36990416,10.014946
90950168512669,3,-0.03232172,0.35434186,10.019734
90950178510950,3,0.046686932,0.36391866,9.996989
90950188512200,3,0.1412579,0.36272156,10.020931
90950198511523,3,0.2645593,0.36391866,10.007763
90950208519388,3,0.24061728,0.36391866,9.975441
90950218514856,3,0.18555063,0.35553896,10.005369
90950228518190,3,-0.039504327,0.35793316,9.980229
90950238510273,3,-0.14963761,0.35194764,9.980229
90950248518971,3,-0.21787235,0.34955344,10.014946
90950258517877,3,-0.2896984,0.35553896,9.994595
90950268520950,3,-0.2645593,0.35075054,10.019734
90950278520846,3,-0.17597382,0.36750996,10.043676
90950288524336,3,0.019153614,0.35793316,10.007763
90950298512461,3,0.15083471,0.36870706,10.0341
90950308539440,3,0.23702596,0.37110126,10.0269165
90950318562461,3,0.40102878,0.37229836,10.014946
90950328527981,3,0.4357447,0.38187516,10.041282
90950338542461,3,0.35553896,0.38067806,10.029311
90950348528450,3,0.11133038,0.38187516,10.040085
90950358514231,3,-0.12210429,0.38187516,10.035296
90950368570013,3,-0.22266077,0.37110126,10.028113
90950378531784,3,-0.35553896,0.37708676,10.042479
90950388546106,3,-0.35075054,0.36391866,10.01734
90950398688971,3,-0.2669535,0.36750996,10.01734
90950408503711,3,-0.04070143,0.36391866,10.044873
90950418518086,3,0.21667525,0.35314476,9.987412
90950428497252,3,0.31004912,0.35673606,10.001778
90950438509908,3,0.46208093,0.34715924,10.020931
90950448511731,3,0.46208093,0.35075054,9.986216
90950458509700,3,0.50637364,0.35075054,10.016143
90950468519127,3,0.40701428,0.35553896,10.016143
90950478497669,3,0.11731588,0.35673606,10.013748
90950488504492,3,-0.24899697,0.36870706,9.983821
90950498510898,3,-0.36631286,0.36391866,10.031705
90950508511575,3,-0.51355624,0.36990416,9.992201
90950518530898,3,-0.5446809,0.36032736,9.9790325
90950528542304,3,-0.49200845,0.36152446,10.013748
90950538519804,3,-0.29448682,0.35913026,9.973047
90950548695429,3,-0.025139118,0.34715924,9.991004
90950558527877,3,0.08499416,0.35434186,9.999383
90950568552148,3,0.21667525,0.33518824,9.947908
90950578507617,3,0.30047232,0.33638534,9.983821
90950588554336,3,0.25977087,0.33039984,9.957485
90950598515950,3,0.062249243,0.32800564,9.935937
90950608512200,3,-0.25977087,0.33877954,9.952697
90950618553763,3,-0.37948096,0.33997664,9.953894
90950628503086,3,-0.48841715,0.35314476,9.96347
90950638543086,3,-0.5422867,0.36152446,9.989806
90950648560065,3,-0.50278234,0.35673606,9.977836
90950658549596,3,-0.3866636,0.36152446,9.993398
90950668569492,3,-0.1316811,0.35075054,9.993398
90950678509283,3,-0.016759412,0.35793316,9.964667
90950688519908,3,0.09696517,0.36152446,10.001778
90950698511835,3,0.2861071,0.36511576,10.005369
90950708560585,3,0.31483752,0.36750996,9.977836
90950718511419,3,0.24420857,0.35913026,10.0029745
90950728595429,3,-0.009576807,0.35553896,9.980229
90950738525377,3,-0.14844051,0.35314476,9.988609
90950748589075,3,-0.24420857,0.35194764,9.991004
90950758565221,3,-0.34596214,0.35673606,10.001778
90950768538294,3,-0.33638534,0.34955344,10.012551
90950778515429,3,-0.25378537,0.35913026,10.006566
90950788504075,3,-0.050278235,0.35553896,10.001778
90950798513606,3,0.15322891,0.36391866,10.016143
90950808508085,3,0.25737667,0.36870706,9.996989
90950818522565,3,0.427365,0.37110126,10.010158
90950828499700,3,0.49081135,0.38067806,10.02572
90950838519335,3,0.40342298,0.38187516,10.022128
90950848765638,3,0.11851298,0.37948096,10.024523
90950858545013,3,-0.19273324,0.3842694,10.032902
90950868564544,3,-0.34356794,0.37588966,10.036493
90950878503294,3,-0.51235914,0.37828386,10.020931
90950888502304,3,-0.5231331,0.36391866,9.993398
90950898509544,3,-0.4225766,0.36152446,10.001778
90950908516262,3,-0.19153613,0.36152446,10.001778
90950918508033,3,0.1316811,0.35075054,9.989806
90950928505325,3,0.2645593,0.35793316,10.023325
90950938513606,3,0.4441244,0.34596214,10.014946
90950948525481,3,0.5614403,0.34835634,10.014946
90950958506940,3,0.49799395,0.35194764,10.032902
90950968691523,3,0.21547815,0.34955344,10.005369
90950978512512,3,-0.18315643,0.36511576,10.022128
