timestamp,accuracy,d0,d1,d2
90153228297296,3,-0.0011971008,0.37588966,9.977836
90153238288963,3,0.0011971008,0.38067806,9.988609
90153248285577,3,0.1316811,0.37469256,9.9790325
90153258282088,3,0.25857377,0.37469256,9.980229
90153268289275,3,0.2717419,0.36750996,10.001778
90153278275421,3,0.12928689,0.36032736,9.986216
90153288292869,3,0.011971008,0.35434186,9.986216
90153298301046,3,-0.29448682,0.35434186,9.991004
90153308295056,3,-0.05746084,0.35434186,9.991004
90153318292660,3,-0.11971009,0.35314476,9.985018
90153328299796,3,-0.17238252,0.35793316,9.995792
90153338296306,3,-0.2765303,0.35793316,9.987412
90153348277452,3,-0.34715924,0.35075054,9.967062
90153358360160,3,-0.4309563,0.35194764,9.974244
90153368290942,3,-0.46327803,0.34835634,9.976639
90153378302504,3,-0.48482585,0.35075054,9.9790325
90153388286254,3,-0.50876784,0.35075054,9.973047
90153398283390,3,-0.47405192,0.34715924,9.974244
90153408359379,3,-0.5243302,0.35434186,9.981427
90153418289431,3,-0.62967503,0.35194764,9.985018
90153428300942,3,-0.79008657,0.35793316,9.988609
90153438283077,3,-0.8822633,0.36032736,9.988609
90153448279379,3,-0.8798691,0.36152446,9.993398
90153458277765,3,-0.79966336,0.36990416,9.991004
90153468288338,3,-0.7350199,0.36990416,9.981427
90153478279171,3,-0.6967127,0.37708676,10.013748
90153488313546,3,-0.6440403,0.38187516,9.998186
90153498291567,3,-0.5758055,0.3866636,9.999383
90153508516463,3,-0.51475334,0.39025488,10.022128
90153518287608,3,-0.48602295,0.39025488,10.010158
90153528303754,3,-0.46686932,0.3866636,10.016143
90153538294744,3,-0.4405331,0.3866636,10.010158
90153548287192,3,-0.320823,0.38187516,10.000581
90153558378077,3,-0.18674773,0.3854665,10.031705
90153568314067,3,-0.08619126,0.38307226,10.011354
90153578306098,3,-0.020350715,0.37229836,10.005369
90153588337712,3,0.023942016,0.36391866,9.996989
90153598289483,3,0.12689269,0.34715924,9.9790325
90153608318025,3,0.22984336,0.33997664,9.965864
90153618289535,3,0.35075054,0.33758244,9.965864
90153628317348,3,0.40462008,0.34117374,9.983821
90153638322973,3,0.34117374,0.33758244,9.969456
90153648289640,3,0.34237084,0.33039984,9.96347
90153658550525,3,0.41299978,0.32920274,9.970653
90153668296671,3,0.5434838,0.33159694,9.970653
90153678308806,3,0.6859388,0.33279404,9.976639
90153688305004,3,0.7398083,0.33518824,9.97185
90153698290942,3,0.7445967,0.33518824,9.962274
90153708280056,3,0.6823475,0.34237084,9.995792
90153718315004,3,0.5470751,0.34596214,9.9790325
90153728310890,3,0.44771573,0.34356794,9.991004
