timestamp,accuracy,d0,d1,d2
91729198701226,3,0.33399114,0.36032736,9.993398
91729208699611,3,0.4405331,0.36391866,10.000581
91729218706226,3,0.5363012,0.36631286,10.004171
91729228700549,3,0.48961425,0.36631286,10.012551
91729238703309,3,0.36870706,0.37349546,10.01734
91729248692945,3,0.15801731,0.36870706,10.005369
91729258699872,3,-0.038307227,0.37588966,10.024523
91729268715132,3,-0.074220255,0.36870706,10.004171
91729278763101,3,-0.18555063,0.37469256,10.014946
91729288719716,3,-0.2861071,0.37349546,10.019734
91729298701695,3,-0.2861071,0.37349546,10.012551
91729308697580,3,-0.34356794,0.37708676,10.012551
91729318708882,3,-0.36391866,0.37588966,10.005369
91729328710184,3,-0.2741361,0.37349546,10.016143
91729338738309,3,-0.18315643,0.37588966,10.000581
91729348707945,3,0.011971008,0.37229836,10.010158
91729358698153,3,0.029927522,0.37948096,10.001778
91729368707007,3,0.05746084,0.37588966,9.996989
91729378708830,3,0.18076223,0.36990416,10.005369
91729388695966,3,0.29927522,0.36631286,9.983821
91729398708309,3,0.33758244,0.35194764,9.977836
91729408704091,3,0.25139117,0.35793316,9.981427
91729418709091,3,0.090979666,0.35314476,9.991004
91729428736226,3,-0.15562311,0.35553896,9.976639
91729438718205,3,-0.18555063,0.34715924,9.970653
91729448734351,3,-0.24301147,0.34356794,9.952697
91729458708778,3,-0.34835634,0.34237084,9.96347
91729469023257,3,-0.37229836,0.34955344,9.967062
91729478712684,3,-0.3866636,0.36152446,9.9790325
91729488715809,3,-0.31364042,0.35793316,9.976639
91729498704038,3,-0.20470424,0.36391866,9.982624
91729508702684,3,0.010773907,0.35913026,9.993398
91729518708570,3,0.10534488,0.36032736,9.994595
91729528720080,3,0.11372458,0.36272156,9.987412
91729538704351,3,0.22625206,0.36152446,9.991004
91729548703986,3,0.32800564,0.37229836,10.004171
91729558714924,3,0.4189853,0.36750996,9.999383
91729568707215,3,0.36152446,0.36990416,9.999383
91729578709976,3,0.15203181,0.37110126,9.995792
91729588708830,3,-0.10295067,0.36990416,10.007763
91729598695080,3,-0.17717093,0.37948096,10.00896
91729608715288,3,-0.16759412,0.37948096,10.018537
91729618706955,3,-0.2885013,0.37828386,10.024523
91729628759507,3,-0.35673606,0.36750996,10.0029745
91729638745549,3,-0.38187516,0.36990416,10.01734
91729648730445,3,-0.30645782,0.36631286,10.02572
91729658720653,3,-0.16879122,0.36631286,10.011354
91729668780757,3,0.016759412,0.36391866,10.01734
91729678752163,3,0.20590134,0.35793316,10.010158
91729688745028,3,0.20709845,0.36391866,10.004171
91729698716903,3,0.29328972,0.35793316,10.022128
91729708717684,3,0.39504328,0.36391866,10.014946
91729718752267,3,0.48961425,0.36511576,10.018537
91729728756747,3,0.45729253,0.36511576,10.02572
91729738786955,3,0.33638534,0.37588966,10.019734
91729748771226,3,0.12210429,0.36870706,9.999383
91729758753778,3,-0.12689269,0.37708676,10.023325
91729768737997,3,-0.12330139,0.36750996,10.016143
91729778739507,3,-0.21428105,0.37349546,10.004171
91729788772007,3,-0.33159694,0.37229836,10.020931
91729798761747,3,-0.37708676,0.37229836,10.006566
91729808767111,3,-0.3866636,0.37349546,9.998186
91729818780497,3,-0.2825158,0.36870706,10.011354
91729828703830,3,-0.16759412,0.36870706,10.004171
91729838718622,3,0.05746084,0.36032736,9.987412
91729848699820,3,0.073023155,0.35913026,9.991004
91729858696226,3,0.08259996,0.35913026,9.988609
91729868707528,3,0.08259996,0.35434186,9.985018
91729878705809,3,0.21428105,0.35434186,9.981427
91729888712892,3,0.31124622,0.35793316,9.981427
91729898714247,3,0.37110126,0.34715924,9.977836
91729908708413,3,0.2777274,0.35673606,9.983821
91729918705028,3,0.08619126,0.35075054,10.000581
91729928705809,3,-0.18555063,0.35793316,9.982624
91729938702944,3,-0.22984336,0.35793316,9.999383
91729948756955,3,-0.25378537,0.35913026,10.0029745
91729958703569,3,-0.37349546,0.36152446,10.006566
91729968704611,3,-0.39863458,0.35913026,10.011354
91729978704090,3,-0.39863458,0.36272156,10.014946
91729988706330,3,-0.30765492,0.35793316,10.007763
91729998699715,3,-0.17956513,0.35913026,10.012551
91730008705132,3,0.015562311,0.35793316,10.011354
91730018808257,3,0.095768064,0.35793316,10.013748
91730028729455,3,0.093373865,0.36631286,10.018537
91730038706226,3,0.22266077,0.36750996,10.018537
91730048707424,3,0.34596214,0.37708676,10.032902
91730058704663,3,0.46447513,0.37110126,10.028113
91730068734299,3,0.427365,0.36750996,10.023325
91730078724455,3,0.21667525,0.36511576,10.014946
91730088717632,3,-0.029927522,0.36631286,10.0269165
91730098712944,3,-0.17836803,0.37588966,10.020931
91730108701486,3,-0.18914193,0.37349546,10.029311
91730118730340,3,-0.320823,0.37588966,10.035296
91730128717580,3,-0.427365,0.36990416,10.004171
91730138709611,3,-0.44771573,0.36990416,10.01734
91730148707059,3,-0.3854665,0.36750996,10.029311
91730158702892,3,-0.23463176,0.36032736,9.999383
91730168734194,3,-0.07182605,0.36032736,10.011354
91730178724194,3,0.14724341,0.35314476,10.00896
91730188706174,3,0.19033903,0.35793316,10.006566
91730198705705,3,0.272939,0.35314476,10.019734
91730208714507,3,0.38307226,0.35075054,10.011354
91730218735288,3,0.46088383,0.35314476,10.0029745
91730228755496,3,0.4297592,0.34955344,10.00896
91730238724924,3,0.2896984,0.36152446,10.011354
91730248725236,3,0.05865794,0.35673606,9.987412
91730258701017,3,-0.22984336,0.36391866,10.004171
91730268748517,3,-0.2896984,0.36272156,9.989806
91730278753778,3,-0.36990416,0.37229836,10.005369
91730288702736,3,-0.4381389,0.37708676,10.010158
91730298714559,3,-0.45489833,0.37588966,10.000581
91730308706330,3,-0.44532153,0.37469256,10.00896
91730318732267,3,-0.32202014,0.36272156,10.004171
91730328744611,3,-0.16519992,0.36511576,9.996989
91730338706851,3,0.088585466,0.36272156,10.00896
91730348710809,3,0.12210429,0.36631286,10.006566
91730358703726,3,0.12330139,0.36391866,10.0029745
91730368869715,3,0.22625206,0.36032736,10.0029745
91730378717632,3,0.3172317,0.36152446,9.993398
91730388708673,3,0.39743748,0.35314476,9.989806
91730398720392,3,0.33279404,0.36272156,9.999383
91730408701017,3,0.15442601,0.36152446,10.022128
91730418843673,3,-0.15562311,0.36272156,10.007763
91730428710184,3,-0.21547815,0.36272156,10.041282
91730438707059,3,-0.22026655,0.35913026,10.013748
91730448712996,3,-0.35194764,0.36272156,10.0341
91730458701017,3,-0.35194764,0.36272156,10.028113
91730468890392,3,-0.45010993,0.36032736,10.005369
91730478719194,3,-0.47046062,0.36391866,10.005369
91730488708101,3,-0.39743748,0.35913026,10.011354
91730498715184,3,-0.2861071,0.35673606,10.00896
91730508702840,3,-0.06823475,0.35673606,9.991004
91730518950184,3,0.079008654,0.35913026,10.0029745
91730528733621,3,0.092176765,0.36272156,10.000581
91730538705548,3,0.22266077,0.35913026,9.992201
91730548721017,3,0.35434186,0.36511576,10.012551
91730558700757,3,0.48722005,0.35793316,10.00896
91730568928621,3,0.46686932,0.35434186,9.999383
91730578743569,3,0.24061728,0.35673606,10.000581
91730588716434,3,-0.04189853,0.35673606,10.007763
